Index,X,Y
0,1518,1180
1,1893,1145
2,1345,1152
3,407,1144
4,1453,1113
5,1583,1075
6,634,1056
7,1219,1050
8,853,1004
9,464,1008
10,1456,981
11,278,976
12,1627,959
13,1118,933
14,975,925
15,1854,903
16,334,872
17,1019,838
18,1728,836
19,506,837
20,1188,771
21,1449,752
22,762,730
23,515,655
24,298,626
25,607,624
26,1154,617
27,879,591
28,1522,569
29,1378,541
30,1677,540
31,777,496
32,1046,474
33,1279,397
34,688,372
35,1468,367
36,519,339
37,864,343
38,735,305
39,1269,274
40,472,272
41,1607,229
42,914,207
43,516,157
44,298,153
45,1389,140
46,1116,147
47,788,140
48,626,106
49,1891,53
50,1518,38
51,899,35
52,1774,40
